ID,Gender,Location,Area,Age,BDay,Byear,Edu_Level,SchoolCode,Marital_Status,HH_Status,HH_ID,SPOUSE_ID,HH_Size,HaveParentID,Number_children,UNKNOWN_CHILD,Age_At_First_Birth,HeadAlone,HOUSENUM,FirstChild,temp,TempYear,Picked
1,male,พระนคร ,,0 - 4,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,male,พระนคร ,,5-ก.ย.,0,,,0,,,0,0,0,0,0,0,0,0,0,0,5,0,0
3,male,พระนคร ,,ต.ค.-14,0,,,0,,,0,0,0,0,0,0,0,0,0,0,10,0,0
4,male,พระนคร ,,ต.ค.-14,0,,,0,,,0,0,0,0,0,0,0,0,0,0,10,0,0
5,male,พระนคร ,,15 - 19,0,,,0,,,0,0,0,0,0,0,0,0,0,0,15,0,0
6,male,พระนคร ,,15 - 19,0,,,0,,,0,0,0,0,0,0,0,0,0,0,15,0,0
7,male,พระนคร ,,20 - 24,0,,,0,,,0,0,0,0,0,0,0,0,0,0,20,0,0
8,male,พระนคร ,,20 - 24,0,,,0,,,0,0,0,0,0,0,0,0,0,0,20,0,0
9,male,พระนคร ,,20 - 24,0,,,0,,,0,0,0,0,0,0,0,0,0,0,20,0,0
10,male,พระนคร ,,25 - 29,0,,,0,,,0,0,0,0,0,0,0,0,0,0,25,0,0
11,male,พระนคร ,,25 - 29,0,,,0,,,0,0,0,0,0,0,0,0,0,0,25,0,0
12,male,พระนคร ,,30 - 34,0,,,0,,,0,0,0,0,0,0,0,0,0,0,30,0,0
13,male,พระนคร ,,30 - 34,0,,,0,,,0,0,0,0,0,0,0,0,0,0,30,0,0
14,male,พระนคร ,,35 - 39,0,,,0,,,0,0,0,0,0,0,0,0,0,0,35,0,0
15,male,พระนคร ,,35 - 39,0,,,0,,,0,0,0,0,0,0,0,0,0,0,35,0,0
16,male,พระนคร ,,40 - 44,0,,,0,,,0,0,0,0,0,0,0,0,0,0,40,0,0
17,male,พระนคร ,,40 - 44,0,,,0,,,0,0,0,0,0,0,0,0,0,0,40,0,0
18,male,พระนคร ,,45 - 49,0,,,0,,,0,0,0,0,0,0,0,0,0,0,45,0,0
19,male,พระนคร ,,45 - 49,0,,,0,,,0,0,0,0,0,0,0,0,0,0,45,0,0
20,male,พระนคร ,,50 - 54,0,,,0,,,0,0,0,0,0,0,0,0,0,0,50,0,0
21,male,พระนคร ,,50 - 54,0,,,0,,,0,0,0,0,0,0,0,0,0,0,50,0,0
22,male,พระนคร ,,55 - 59,0,,,0,,,0,0,0,0,0,0,0,0,0,0,55,0,0
23,male,พระนคร ,,55 - 59,0,,,0,,,0,0,0,0,0,0,0,0,0,0,55,0,0
24,male,พระนคร ,,60 - 64,0,,,0,,,0,0,0,0,0,0,0,0,0,0,60,0,0
25,male,พระนคร ,,65 - 69,0,,,0,,,0,0,0,0,0,0,0,0,0,0,65,0,0
26,male,พระนคร ,,70 - 74,0,,,0,,,0,0,0,0,0,0,0,0,0,0,70,0,0
27,male,พระนคร ,,0 - 4,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
28,male,ดุสิต ,,0 - 4,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
29,male,ดุสิต ,,5-ก.ย.,0,,,0,,,0,0,0,0,0,0,0,0,0,0,5,0,0
30,male,ดุสิต ,,5-ก.ย.,0,,,0,,,0,0,0,0,0,0,0,0,0,0,5,0,0
31,male,ดุสิต ,,ต.ค.-14,0,,,0,,,0,0,0,0,0,0,0,0,0,0,10,0,0
